alg,s,t,k,theta,time
onepass_plus,79,350,3,0.4,21.0947
esx,79,350,3,0.4,436.867
penalty,79,350,3,0.4,18.2332
onepass_plus,1060,1251,5,0.1,9.58179
esx,1060,1251,5,0.1,448.923
penalty,1060,1251,5,0.1,207056
onepass_plus,1070,107,1,0.62,4.3585
esx,1070,107,1,0.62,4.10079
penalty,1070,107,1,0.62,5.71825
onepass_plus,139,94,8,0.86,31.9192
esx,139,94,8,0.86,1563.99
penalty,139,94,8,0.86,66.9022
onepass_plus,1770,696,5,0.22,6.10929
esx,1770,696,5,0.22,288.576
penalty,1770,696,5,0.22,94020.4
onepass_plus,92,1473,7,0.33,47.4172
esx,92,1473,7,0.33,1218.68
penalty,92,1473,7,0.33,20.6647
onepass_plus,1474,1594,2,0.62,13.1814
esx,1474,1594,2,0.62,503.498
penalty,1474,1594,2,0.62,11.9718
onepass_plus,521,844,1,0.2,3.60812
esx,521,844,1,0.2,3.70721
penalty,521,844,1,0.2,5.36733
onepass_plus,694,304,9,0.16,22.9277
esx,694,304,9,0.16,310.037
penalty,694,304,9,0.16,160337
onepass_plus,65,1194,7,0.93,7.17387
esx,65,1194,7,0.93,1230.81
penalty,65,1194,7,0.93,33.9653
onepass_plus,2000,1987,7,0.78,5.96217
esx,2000,1987,7,0.78,542.977
penalty,2000,1987,7,0.78,13.7947
onepass_plus,68,753,6,0.81,5.30583
esx,68,753,6,0.81,501.223
penalty,68,753,6,0.81,36.2292
onepass_plus,1568,407,4,0.75,4.09912
esx,1568,407,4,0.75,252.622
penalty,1568,407,4,0.75,11.4508
onepass_plus,1287,985,2,0.23,4.92525
esx,1287,985,2,0.23,168.097
penalty,1287,985,2,0.23,12.2405
onepass_plus,1512,1362,8,0.6,8.66379
esx,1512,1362,8,0.6,734.615
penalty,1512,1362,8,0.6,29.2202
onepass_plus,1203,178,6,0.73,8.53233
esx,1203,178,6,0.73,754.434
penalty,1203,178,6,0.73,20.7709
onepass_plus,1682,205,9,0.86,8.41292
esx,1682,205,9,0.86,995.093
penalty,1682,205,9,0.86,37.2182
onepass_plus,497,1034,8,0.88,4.98537
esx,497,1034,8,0.88,29.7888
penalty,497,1034,8,0.88,41837.9
onepass_plus,216,1254,10,0.92,22.138
esx,216,1254,10,0.92,2194.26
penalty,216,1254,10,0.92,50.3046
onepass_plus,1572,76,3,0.61,14.6836
esx,1572,76,3,0.61,788.116
