alg,s,t,k,theta,time
onepass_plus,1440,41,1,1,3.94696
esx,1440,41,1,1,3.87017
penalty,1440,41,1,1,5.33308
onepass_plus,1995,1799,1,1,5.11921
esx,1995,1799,1,1,5.39767
penalty,1995,1799,1,1,5.637
onepass_plus,1995,1799,1,0.9,5.38254
esx,1995,1799,1,0.9,6.06692
penalty,1995,1799,1,0.9,5.41942
onepass_plus,1995,1799,1,0.8,5.3485
esx,1995,1799,1,0.8,5.20621
penalty,1995,1799,1,0.8,6.67571
onepass_plus,1995,1799,1,0.7,5.60425
esx,1995,1799,1,0.7,5.37721
penalty,1995,1799,1,0.7,5.51217
onepass_plus,1995,1799,1,0.6,5.50346
esx,1995,1799,1,0.6,5.21304
penalty,1995,1799,1,0.6,6.32342
onepass_plus,1995,1799,1,0.5,5.34358
esx,1995,1799,1,0.5,5.20004
penalty,1995,1799,1,0.5,5.42925
onepass_plus,1995,1799,1,0.4,5.22742
esx,1995,1799,1,0.4,5.397
penalty,1995,1799,1,0.4,5.6045
onepass_plus,1995,1799,1,0.3,5.1305
esx,1995,1799,1,0.3,5.13729
penalty,1995,1799,1,0.3,5.40642
onepass_plus,1995,1799,1,0.2,5.55417
esx,1995,1799,1,0.2,4.89008
penalty,1995,1799,1,0.2,6.16937
onepass_plus,1995,1799,1,0.1,5.665
esx,1995,1799,1,0.1,5.27971
penalty,1995,1799,1,0.1,5.37996
onepass_plus,1995,1799,2,1,5.86242
esx,1995,1799,2,1,397.813
penalty,1995,1799,2,1,11.1816
onepass_plus,1995,1799,2,0.9,6.40017
esx,1995,1799,2,0.9,416.57
penalty,1995,1799,2,0.9,10.835
onepass_plus,1995,1799,2,0.8,6.20479
esx,1995,1799,2,0.8,406.136
penalty,1995,1799,2,0.8,11.3969
onepass_plus,1995,1799,2,0.7,6.74242
esx,1995,1799,2,0.7,410.708
penalty,1995,1799,2,0.7,10.5255
onepass_plus,1995,1799,2,0.6,7.68237
esx,1995,1799,2,0.6,416.023
penalty,1995,1799,2,0.6,10.7005
onepass_plus,1995,1799,2,0.5,6.82258
esx,1995,1799,2,0.5,424.499
penalty,1995,1799,2,0.5,10.5392
onepass_plus,1995,1799,2,0.4,7.01542
esx,1995,1799,2,0.4,423.226
penalty,1995,1799,2,0.4,10.6325
onepass_plus,1995,1799,2,0.3,8.91037
esx,1995,1799,2,0.3,440.079
penalty,1995,1799,2,0.3,10.793
onepass_plus,1995,1799,2,0.2,9.03325
esx,1995,1799,2,0.2,455.338
penalty,1995,1799,2,0.2,18.6429
onepass_plus,1995,1799,2,0.1,11.6456
esx,1995,1799,2,0.1,469.925
penalty,1995,1799,2,0.1,27.714
onepass_plus,1995,1799,3,1,6.49142
esx,1995,1799,3,1,611.517
penalty,1995,1799,3,1,14.5747
onepass_plus,1995,1799,3,0.9,6.27754
esx,1995,1799,3,0.9,623.737
penalty,1995,1799,3,0.9,15.7057
onepass_plus,1995,1799,3,0.8,6.77021
esx,1995,1799,3,0.8,616.663
penalty,1995,1799,3,0.8,14.2273
onepass_plus,1995,1799,3,0.7,9.77633
esx,1995,1799,3,0.7,591.794
penalty,1995,1799,3,0.7,14.2543
onepass_plus,1995,1799,3,0.6,9.88842
esx,1995,1799,3,0.6,595.977
penalty,1995,1799,3,0.6,15.2039
onepass_plus,1995,1799,3,0.5,9.29121
esx,1995,1799,3,0.5,609.531
penalty,1995,1799,3,0.5,13.918
onepass_plus,1995,1799,3,0.4,20.7507
esx,1995,1799,3,0.4,625.068
penalty,1995,1799,3,0.4,13.7375
onepass_plus,1995,1799,3,0.3,28.6197
esx,1995,1799,3,0.3,716.851
penalty,1995,1799,3,0.3,14.5893
onepass_plus,1995,1799,3,0.2,37.2245
esx,1995,1799,3,0.2,633.349
penalty,1995,1799,3,0.2,26.9795
onepass_plus,1995,1799,3,0.1,27.3437
