alg,time,number,length,source,dest
onepass_plus,4.885729789733887,0,8958.355,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
esx,4.886652231216431,0,8958.355,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
onepass_plus,4.90591025352478,1,8958.355,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
penalty,4.94808030128479,0,8958.355,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
onepass_plus,4.951220512390137,2,9113.251,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
penalty,5.063840389251709,1,9342.978,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
onepass_plus,5.10198712348938,3,9290.15,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
penalty,5.1788084506988525,2,9100.271,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
onepass_plus,5.1842615604400635,4,9342.978,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
penalty,5.247385025024414,3,9537.055,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
onepass_plus,5.34903621673584,5,9431.578,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
penalty,5.501872301101685,4,9859.356,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
onepass_plus,5.53437876701355,6,9489.944,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
penalty,5.601516485214233,5,9722.196,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
penalty,5.753272533416748,6,10030.088,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
esx,8.523439645767212,1,12670.65,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
esx,14.720206260681152,2,13106.468,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
esx,16.92979335784912,3,13349.954,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
esx,24.939374923706055,4,14586.594,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
esx,31.592140436172485,5,14613.381,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
esx,38.03420376777649,6,15832.987,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
onepass_plus,5.235381603240967,0,1583.564,Corso Vittorio Emanuele II Torino,Via Roma Torino
esx,5.248161792755127,0,1583.564,Corso Vittorio Emanuele II Torino,Via Roma Torino
onepass_plus,5.252836227416992,1,1610.68,Corso Vittorio Emanuele II Torino,Via Roma Torino
onepass_plus,5.2941670417785645,2,1634.483,Corso Vittorio Emanuele II Torino,Via Roma Torino
onepass_plus,5.317591667175293,3,1759.013,Corso Vittorio Emanuele II Torino,Via Roma Torino
penalty,5.323786973953247,0,1583.564,Corso Vittorio Emanuele II Torino,Via Roma Torino
penalty,5.366141319274902,1,1628.594,Corso Vittorio Emanuele II Torino,Via Roma Torino
onepass_plus,5.372617244720459,4,2089.09,Corso Vittorio Emanuele II Torino,Via Roma Torino
onepass_plus,5.39850640296936,5,2099.081,Corso Vittorio Emanuele II Torino,Via Roma Torino
