alg,s,t,k,theta,time
onepass_plus,1440,41,2,0.8,193.921
esx,1440,41,2,0.8,30707.8
onepass_plus,1746,1916,1,1,183.007
esx,1746,1916,1,1,180.903
onepass_plus,1746,1916,1,0.9,181.503
esx,1746,1916,1,0.9,180.771
onepass_plus,1746,1916,1,0.8,181.949
esx,1746,1916,1,0.8,182.401
onepass_plus,1746,1916,1,0.7,181.841
esx,1746,1916,1,0.7,181.891
onepass_plus,1746,1916,1,0.6,180.995
esx,1746,1916,1,0.6,180.796
onepass_plus,1746,1916,1,0.5,178.286
esx,1746,1916,1,0.5,181.165
onepass_plus,1746,1916,1,0.4,180.967
esx,1746,1916,1,0.4,180.753
onepass_plus,1746,1916,1,0.3,180.06
esx,1746,1916,1,0.3,181.108
onepass_plus,1746,1916,1,0.2,181.892
esx,1746,1916,1,0.2,177.903
onepass_plus,1746,1916,1,0.1,182.558
esx,1746,1916,1,0.1,182.177
onepass_plus,1746,1916,2,1,214.459
esx,1746,1916,2,1,36306.2
onepass_plus,1746,1916,2,0.9,214.695
esx,1746,1916,2,0.9,36063.4
onepass_plus,1746,1916,2,0.8,215.926
esx,1746,1916,2,0.8,36764.9
onepass_plus,1746,1916,2,0.7,215.329
esx,1746,1916,2,0.7,36247.6
onepass_plus,1746,1916,2,0.6,221.982
esx,1746,1916,2,0.6,36691.8
onepass_plus,1746,1916,2,0.5,262.798
esx,1746,1916,2,0.5,36697.6
onepass_plus,1746,1916,2,0.4,287.293
esx,1746,1916,2,0.4,36155.1
onepass_plus,1746,1916,2,0.3,252.906
esx,1746,1916,2,0.3,36265.8
onepass_plus,1746,1916,2,0.2,241.538
esx,1746,1916,2,0.2,36166.4
onepass_plus,1746,1916,2,0.1,204.988
esx,1746,1916,2,0.1,36839.6
onepass_plus,1746,1916,3,1,209.341
esx,1746,1916,3,1,55434.6
onepass_plus,1746,1916,3,0.9,226.247
esx,1746,1916,3,0.9,53474
onepass_plus,1746,1916,3,0.8,265.998
esx,1746,1916,3,0.8,55951.5
onepass_plus,1746,1916,3,0.7,261.787
esx,1746,1916,3,0.7,55774.9
onepass_plus,1746,1916,3,0.6,657.289
esx,1746,1916,3,0.6,55871.6
onepass_plus,1746,1916,3,0.5,613.663
esx,1746,1916,3,0.5,55352.7
onepass_plus,1746,1916,3,0.4,352.956
esx,1746,1916,3,0.4,55845.2
onepass_plus,1746,1916,3,0.3,677.991
esx,1746,1916,3,0.3,55732.3
