alg,source,dest,number,time,length,length_at_number_0
esx,Borgo Antico Sondrio,Piazza del Monte Biella,0,2.19705867767334,193459.013,193459.013
esx,Borgo Antico Sondrio,Piazza del Monte Biella,1,2.503458023071289,240347.942,193459.013
esx,Borgo Antico Sondrio,Piazza del Monte Biella,2,2.9356701374053955,264713.051,193459.013
esx,Borgo Antico Sondrio,Piazza del Monte Biella,3,3.3455750942230225,287542.93,193459.013
esx,Borgo Antico Sondrio,Piazza del Monte Biella,4,4.355957746505737,316961.838,193459.013
esx,Borgo Antico Sondrio,Piazza del Monte Biella,5,5.502077579498291,498909.253,193459.013
esx,Borgo Antico Sondrio,Piazza del Monte Biella,6,300.0,,193459.013
esx,Borgo Castello Sondrio,Piazza Cisterna Biella,0,2.693359136581421,241367.628,241367.628
esx,Borgo Castello Sondrio,Piazza Cisterna Biella,1,3.613338470458984,257293.979,241367.628
esx,Borgo Castello Sondrio,Piazza Cisterna Biella,2,4.458074569702148,315268.105,241367.628
esx,Borgo Castello Sondrio,Piazza Cisterna Biella,3,5.039382219314575,416184.289,241367.628
esx,Borgo Castello Sondrio,Piazza Cisterna Biella,4,300.0,,241367.628
esx,Borgo Castello Sondrio,Piazza Cisterna Biella,5,300.0,,241367.628
esx,Borgo Castello Sondrio,Piazza Cisterna Biella,6,300.0,,241367.628
esx,Borgo San Pietro Pavia,Piazza Europa La Spezia,0,2.2006542682647705,254833.196,254833.196
esx,Borgo San Pietro Pavia,Piazza Europa La Spezia,1,2.5848917961120605,286227.385,254833.196
esx,Borgo San Pietro Pavia,Piazza Europa La Spezia,2,2.9843578338623047,363345.285,254833.196
esx,Borgo San Pietro Pavia,Piazza Europa La Spezia,3,300.0,,254833.196
esx,Borgo San Pietro Pavia,Piazza Europa La Spezia,4,300.0,,254833.196
esx,Borgo San Pietro Pavia,Piazza Europa La Spezia,5,300.0,,254833.196
esx,Borgo San Pietro Pavia,Piazza Europa La Spezia,6,300.0,,254833.196
esx,Borgo San Rocco Sondrio,Piazza San Sebastiano Biella,0,2.6146891117095947,278630.707,278630.707
esx,Borgo San Rocco Sondrio,Piazza San Sebastiano Biella,1,3.419518232345581,368136.117,278630.707
esx,Borgo San Rocco Sondrio,Piazza San Sebastiano Biella,2,4.250962257385254,426710.343,278630.707
esx,Borgo San Rocco Sondrio,Piazza San Sebastiano Biella,3,300.0,,278630.707
esx,Borgo San Rocco Sondrio,Piazza San Sebastiano Biella,4,300.0,,278630.707
esx,Borgo San Rocco Sondrio,Piazza San Sebastiano Biella,5,300.0,,278630.707
