Algorithm,Timestamp (s),Relative number path,length(m),source,dest
esx,0.7341217994689941,0,1704.537,Via Giovanni Chiassi Mantova,Viale Oslavia Mantova
onepass_plus,0.7679407596588135,0,1704.537,Via Giovanni Chiassi Mantova,Viale Oslavia Mantova
penalty,0.83146071434021,0,1704.537,Via Giovanni Chiassi Mantova,Viale Oslavia Mantova
esx,0.8956649303436279,1,2220.454,Via Giovanni Chiassi Mantova,Viale Oslavia Mantova
onepass_plus,0.9597330093383789,1,2162.321,Via Giovanni Chiassi Mantova,Viale Oslavia Mantova
penalty,1.023725986480713,1,2220.454,Via Giovanni Chiassi Mantova,Viale Oslavia Mantova
esx,1.0855579376220703,2,2951.819,Via Giovanni Chiassi Mantova,Viale Oslavia Mantova
onepass_plus,1.1491708755493164,2,2220.454,Via Giovanni Chiassi Mantova,Viale Oslavia Mantova
onepass_plus,1.2120440006256104,3,2222.989,Via Giovanni Chiassi Mantova,Viale Oslavia Mantova
esx,1.2754170894622803,3,6610.118,Via Giovanni Chiassi Mantova,Viale Oslavia Mantova
penalty,1.3391869068145752,2,2200.609,Via Giovanni Chiassi Mantova,Viale Oslavia Mantova
onepass_plus,1.4028847217559814,4,2533.077,Via Giovanni Chiassi Mantova,Viale Oslavia Mantova
esx,1.4717659950256348,4,7529.953,Via Giovanni Chiassi Mantova,Viale Oslavia Mantova
penalty,1.5338497161865234,3,2847.294,Via Giovanni Chiassi Mantova,Viale Oslavia Mantova
onepass_plus,1.5982439517974854,5,2651.097,Via Giovanni Chiassi Mantova,Viale Oslavia Mantova
esx,1.6618518829345703,5,19842.562,Via Giovanni Chiassi Mantova,Viale Oslavia Mantova
onepass_plus,1.7251408100128174,6,2675.523,Via Giovanni Chiassi Mantova,Viale Oslavia Mantova
onepass_plus,0.6665620803833008,0,6282.72,Via Milazzo Pavia,Via Vigentina Pavia
penalty,0.6987357139587402,0,6282.72,Via Milazzo Pavia,Via Vigentina Pavia
esx,0.7601840496063232,0,6282.72,Via Milazzo Pavia,Via Vigentina Pavia
onepass_plus,0.8236889839172363,1,7253.825,Via Milazzo Pavia,Via Vigentina Pavia
esx,0.8874900341033936,1,7253.825,Via Milazzo Pavia,Via Vigentina Pavia
onepass_plus,0.951312780380249,2,9640.172,Via Milazzo Pavia,Via Vigentina Pavia
esx,1.014488697052002,2,11057.995,Via Milazzo Pavia,Via Vigentina Pavia
onepass_plus,1.0787179470062256,3,9991.986,Via Milazzo Pavia,Via Vigentina Pavia
esx,1.1431188583374023,3,15106.942,Via Milazzo Pavia,Via Vigentina Pavia
onepass_plus,1.2071747779846191,4,13996.552,Via Milazzo Pavia,Via Vigentina Pavia
onepass_plus,6.686858892440796,0,14095.625,Via Francesco Petrarca Cernusco sul Naviglio,Via Melchiorre Gioia 51 Milano
esx,6.752213001251221,0,14095.625,Via Francesco Petrarca Cernusco sul Naviglio,Via Melchiorre Gioia 51 Milano
penalty,6.815412998199463,0,14095.625,Via Francesco Petrarca Cernusco sul Naviglio,Via Melchiorre Gioia 51 Milano
onepass_plus,6.8778159618377686,1,14551.57,Via Francesco Petrarca Cernusco sul Naviglio,Via Melchiorre Gioia 51 Milano
penalty,6.937283039093018,1,14564.114,Via Francesco Petrarca Cernusco sul Naviglio,Via Melchiorre Gioia 51 Milano
esx,6.99930477142334,1,14551.57,Via Francesco Petrarca Cernusco sul Naviglio,Via Melchiorre Gioia 51 Milano
onepass_plus,7.065834999084473,2,15237.145,Via Francesco Petrarca Cernusco sul Naviglio,Via Melchiorre Gioia 51 Milano
penalty,7.128422021865845,2,15321.874,Via Francesco Petrarca Cernusco sul Naviglio,Via Melchiorre Gioia 51 Milano
esx,7.191431045532227,2,15237.145,Via Francesco Petrarca Cernusco sul Naviglio,Via Melchiorre Gioia 51 Milano
